placeId,name,wfc,me_time,date,family,group_study,topPurposes,detectedFacilities,reviewCount
ChIJyfd1-3TFaC4RSpWvNdK8BWQ,.,90,0,68,0,100,group_study|wfc|date,parking,423
ChIJb3hT7KLnaC4RilOEAfY4L2s,"""Cafe Baso""",0,68,0,68,0,me_time|family,,301
ChIJDxlPAizdaC4R2nkDfH168Fo,1210 COFFEE & ROASTERY,68,0,0,0,0,wfc,,300
ChIJNTV8au7naC4RJ2B3ay6ADiw,123 Cafe,0,0,0,0,0,,,2
ChIJzbeCe8XpaC4RxN3wphK2Qio,16th Street Coffee House,0,0,0,0,0,,,2
ChIJuRIIlJXmaC4RYQ89D0dn0ns,18 Hrs Café,0,100,68,0,100,me_time|group_study|date,parking,339
ChIJAUTs5KLpaC4R8Fhrp83G1fI,235 Coffee,0,0,0,0,0,,,46
ChIJXUTpftPdaC4RUQXv1mulli4,288 Coffee,0,0,0,0,0,,,35
ChIJWYmpDQDdaC4RZkmcCS5O3wI,2NR TOUR TRAVEL,0,0,0,0,0,,,1
ChIJ59H-qkvmaC4RiXpKU6TP6Lo,4eat Cafe,68,100,0,100,0,me_time|family|wfc,quiet_atmosphere,462
ChIJ8Wf-G0LpaC4RiUeRdQ2XNCI,69 Coffee Bar,0,0,0,68,100,group_study|family,,227
ChIJQTi2EmrdaC4R0sc-55M2x0U,Abah Cafe,0,0,0,0,0,,,5
ChIJ7QZE1hnDaC4RdDLHbFTUmCM,ABBASY CAFE,0,0,0,0,0,,,9
ChIJO5Su_o3naC4RaNYsAoMJuKI,ABSOLUTE I-GAME & CAFE,0,0,0,0,0,,,164
ChIJrw4_TDnDaC4Rm3UsVbwe8Fc,Adinda Coffee,0,0,0,0,0,,,67
ChIJLZF1Ha3daC4RIA_3peUfZi4,Advena Coffee,0,0,0,0,68,group_study,,153
ChIJBdpy0sbpaC4RfFHDx7Lm07w,after morning id,0,0,0,0,0,,,1
ChIJxfmBifHDaC4RE95BLViKOKI,Agate,100,90,68,100,68,wfc|family|me_time|date|group_study,wifi|parking,807
ChIJR8jP0KvdaC4R_tVe36nIGGk,Alarose Cafe,0,0,0,0,0,,,3
ChIJKTxw0uTnaC4R5h3CeJ5S5E8,Amateur Coffee,0,68,68,0,68,me_time|date|group_study,,414
ChIJu7T4EuPDaC4RqhoIiADMtiU,Amaze Coffee,0,0,0,0,68,group_study,,69
ChIJY6NKs-PDaC4RPVSfq3y_Oy4,Amigos Cafe,0,0,0,0,0,,,7
ChIJ8xBFGUzmaC4RFGJU4b_-DjA,And's Zeroun Cafe And Resto,0,0,0,0,0,,,2
ChIJU37I5sPDaC4RE9l72XEcUvU,Apo coffee,68,68,100,68,100,date|group_study|wfc|me_time|family,outdoor_area,559
ChIJc9HADonpaC4R-iEwDKCTdGU,Aprilia Cafe And Resto,100,100,100,100,100,wfc|me_time|date|family|group_study,wifi|power_outlet|quiet_atmosphere,959
ChIJ6zyEALPnaC4RcUFSbcF2Jcw,AQUAIR_CoffeeRium,0,0,100,68,68,date|family|group_study,kid_friendly,315
ChIJP-vDdi_naC4R_lCgSy8nJCM,ARENA BOLA GAMES CAFE,0,90,0,0,90,me_time|group_study,,692
ChIJayzA1arDaC4RJ7VRiRLNiFY,Arensha Coffee Shop,0,0,0,0,0,,,3
ChIJbZoVLgDdaC4Rg9IrkECehNI,Arizta Cafe & Wash,68,90,68,100,0,family|me_time|wfc|date,mushola|parking|quiet_atmosphere,253
ChIJw395CDndaC4R0NsKNbxr2J0,Arkan Cafe,0,0,0,0,0,,,4
ChIJtaencgDdaC4RRmF_mw6WEzo,Aster cafe,0,0,0,0,0,,,10
ChIJ2x6eo5rpaC4R65BI-lked9Y,Astrajingga Coffee Culture,68,0,0,68,90,group_study|wfc|family,parking,114
ChIJqVwt8eLDaC4Rj1FzF0JJ5vw,Awall Coffee,0,68,0,0,0,me_time,quiet_atmosphere,126
ChIJRfNQLejpaC4RPGFFro3V2kw,ayakan kopi roaster,0,0,0,0,0,,,1
ChIJeVYgbwvDaC4R3qjj23SZBgA,Ayang Coffee,100,100,100,68,100,wfc|me_time|date|group_study|family,wifi|power_outlet|mushola|parking|quiet_atmosphere|outdoor_area,1216
ChIJaxlvfSznaC4RG8umwdXdJt0,B'Creative Coffee & Merchant,0,0,0,68,68,family|group_study,,211
ChIJSROk7XvnaC4RJIXPKDO6kAQ,Balantik Coffee Shop & Roastery,0,0,0,0,0,,,20
ChIJ0yUN11DdaC4RJq3Y0-e5ndE,Bale-M Cafe,0,100,100,100,100,me_time|date|family|group_study,mushola|parking|quiet_atmosphere,593
ChIJGQR8slfdaC4R9HHUJR2XtpA,Bali Cafe Design,0,0,0,0,0,,,1
ChIJ2YBm_HrdaC4RYnsjS0kghVI,Balingbing cafe,0,0,0,0,0,,,5
ChIJD526N8vnaC4RrNigrw1uSfY,Bayang cafe,90,90,0,0,0,wfc|me_time,quiet_atmosphere,45
ChIJUTIiRyPpaC4RW6Q_CyVa0Ik,Bayco Coffee,0,0,0,0,0,,,148
ChIJ9w4TLIvnaC4Rpo1ND0sCtkk,Beda Cerita Coffee,100,100,100,100,100,wfc|me_time|date|family|group_study,wifi|power_outlet|mushola|parking|quiet_atmosphere|outdoor_area,1953
ChIJ53ACn_DdaC4R1VcLOKkLPXE,Benjan Cafe,0,0,0,0,0,,,1
ChIJpUlup9rpaC4RsU6GxKSlzEI,Betang Coffee,0,0,0,0,0,,,28
ChIJWVWxMLbnaC4RRHG9Z4q-xeY,Betang Coffee @WiFi Corner,100,68,68,100,68,wfc|family|me_time|date|group_study,wifi|power_outlet|parking,467
ChIJGd7p0mfdaC4RuZSmrxGdUUg,Bingkai Coffee,90,100,90,0,100,me_time|group_study|wfc|date,wifi|mushola|quiet_atmosphere,447
ChIJWdO_BADDaC4RtXcJZ_gmr48,Biwru Cafe,0,0,0,0,0,,,1
ChIJB4vJt9nCaC4R1Dyh98REIVM,Black Hole Cafe,0,68,0,0,0,me_time,,26
ChIJ4R0C7rvnaC4RK7Nemqw_Hpk,Black Insomnia Coffee,90,90,0,68,0,wfc|me_time|family,,200
ChIJFbqs5cvnaC4R7BZq6XSKt0I,Bober Cafe,100,100,100,100,100,wfc|me_time|date|family|group_study,wifi|mushola|parking|quiet_atmosphere|large_tables|outdoor_area,1556
ChIJbw7POB3daC4R2-0aYL3lfyE,Bonceng Family Cafe,0,100,68,0,90,me_time|group_study|date,parking|quiet_atmosphere,286
ChIJBw6E11znaC4RF2k6Sc4aBbU,Box Coffice Antapani,100,90,90,90,100,wfc|group_study|me_time|date|family,wifi|mushola|parking|outdoor_area,696
ChIJz6HYomjnaC4RsTp3cVsp9xc,Breakthrough Cafe & Coffee,0,0,0,0,0,,,14
ChIJzwadZJ_naC4RJE7fDwwSrzU,Briiz Chocolate Cafe Saparua,0,100,0,0,0,me_time,parking,604
ChIJ73IfRb7paC4RfgPOz_xiA_E,BROTHER'S CORNER COFFEE,100,100,0,100,100,wfc|me_time|family|group_study,wifi|parking|quiet_atmosphere,421
ChIJuzRf35TpaC4RbJgKcQe8m1U,Buff Cafe Indonesia,0,0,0,0,68,group_study,,120
ChIJjeJPSknmaC4R5p13sBjrSGs,Buih Kopi,100,100,90,90,100,wfc|me_time|group_study|date|family,wifi|power_outlet|quiet_atmosphere,1239
ChIJmbfwsuHDaC4RDO5dVrNLLlE,Bungsu Coffee,90,0,90,0,68,wfc|date|group_study,,264
ChIJW91XADrDaC4R4RUrb-3re-A,Byard Coffee,0,90,0,0,0,me_time,,43
ChIJl1qeiTPdaC4R9gKXTItLZPk,C&T coffe shop,0,0,0,0,0,,,52
ChIJTfODHADDaC4Rsp3TvokyzLY,cafe,0,0,0,0,0,,,1
ChIJ_ztCRMfdaC4Rfsz9hK7zXBk,Cafe,0,0,0,0,0,,,1
ChIJrU2C4A3daC4Rh-N082jlNLQ,Cafe & Resto 19,0,0,0,0,0,,,75
ChIJWeEcMQDdaC4RBXuB-GAelDA,Cafe 379,68,90,68,0,0,me_time|wfc|date,,28
ChIJMTT9GXLpaC4RU8shYi7M5Ps,Cafe 90's,0,0,0,0,0,,,4
ChIJdwTEKK_naC4RXA9K3RgqM54,Cafe Abah,0,0,0,0,0,,,26
ChIJ_02nunDnaC4R0plC5_AqlHg,Cafe Abang Sinulaki,0,0,68,0,0,date,,45
ChIJp1taBQDdaC4R55_6JZe9bIw,Cafe abdee,0,100,100,68,100,me_time|date|group_study|family,,300
ChIJ9-ob3D3daC4RlfSR_Sr7adQ,Cafe abex,0,0,0,0,0,,,17
ChIJKR2rzzTDaC4RYMbgjy0CHjQ,Cafe Alfatih,0,0,0,0,0,,,5
ChIJ6xTyALbdaC4R3QwR_bc9kP8,Cafe Arabika Bukit Palasari,68,100,100,0,90,me_time|date|group_study|wfc,parking|quiet_atmosphere,706
ChIJxRLHMJjnaC4RNJVF3EEH_5g,Cafe Asri,0,0,0,0,0,,,11
ChIJYX2SXlDmaC4R_fHmNyH2rTk,Cafe Babeh,0,0,0,68,0,family,,114
ChIJYwpEri_oaC4ReFYaRZnl1nk,Cafe Bagja,0,0,0,0,0,,,4
ChIJB0zriYLdaC4RsvT6CivH5zI,Cafe Bahagia,0,68,68,0,0,me_time|date,,32
ChIJ85TPl-3daC4RL17HK31FqJs,CAFE BENGKEL 41,68,68,68,0,68,wfc|me_time|date|group_study,,190
ChIJSZh0o4HdaC4RcUThNCAmK1M,Cafe Berkah,0,0,0,0,0,,,74
ChIJj570meLDaC4R34Gq5kBaFHs,Cafe Bintang Kehidupan,0,90,68,90,0,me_time|family|date,parking|quiet_atmosphere|outdoor_area,189
ChIJu2n3XX_daC4RcxvOJP4k9JE,Cafe Buruan Sunda,0,0,0,0,0,,,1
ChIJIWft1BznaC4R-1UWVdpRm3Y,Cafe C99 coffee & food,0,0,0,0,0,,,10
ChIJj3XZIOznaC4R524ZG5-mkrw,cafe cinta by justice band,0,0,0,0,0,,,24
ChIJq3B97UjnaC4R_wQQUVpSkRU,Cafe Cisangkuy,100,68,68,90,68,wfc|family|me_time|date|group_study,wifi|power_outlet|outdoor_area,288
ChIJRUp67LvdaC4Rj2PNZn8gY6A,Cafe D'Manggo,0,0,68,0,0,date,,37
ChIJ7yBFs2jCaC4RlDo3VJ-vUlc,cafe damman,0,0,0,0,0,,,15
ChIJFSRj4GfnaC4RnGMDg4gBQKk,Cafe de Musee,100,68,90,0,0,wfc|date|me_time,wifi,626
ChIJCyCg-x7daC4RGEDyQ1isJzY,Cafe Diva,0,0,0,0,90,group_study,,18
ChIJYcX3p47CaC4RQgAZA9lP2XM,Cafe Dua Sejoli Bandung,0,0,0,0,68,group_study,,236
ChIJt2effmLnaC4RrlFXxqBkOF8,CAFE GOUTTE,0,0,0,0,0,,,6
ChIJBWECcNvDaC4RUViPjodqBeI,Cafe Green White,68,100,100,68,100,me_time|date|group_study|wfc|family,quiet_atmosphere,237
ChIJbyx92abnaC4RzmVX-aBNLsk,Cafe HM10,0,100,68,100,90,me_time|family|group_study|date,quiet_atmosphere|outdoor_area,193
ChIJPUPQo97naC4RKdxA7o82a0c,Cafe Ibu,0,68,68,0,0,me_time|date,quiet_atmosphere,113
ChIJoVIO7ErdaC4RZfB-2JqLOvs,Cafe Jabaraya Coffe,0,0,0,0,0,,,47
ChIJAyQXWgDDaC4R0xE1-xEqBW4,Cafe Jadul,0,0,0,0,0,,,1
ChIJb7jAREfDaC4RhNARPJqAfYk,Cafe kadarieu,0,0,0,0,0,,,6
ChIJ2dWMLm_daC4RwQMF8O2Rhhw,Cafe Kanicmate Bandung,0,100,0,0,0,me_time,mushola|quiet_atmosphere|outdoor_area,244
ChIJhwtzXgDnaC4Rxi6YAOd4Gsw,Cafe kebun Bilqis,0,0,0,0,0,,,1
