name,address,rating,totalReviews,reviewsScraped,phone,website,category,priceLevel,lat,lng,googleMapsUrl
"Hawker Buns Singapore Burger Cafe","1312 Bedford Hwy, Bedford, NS B4A 1C8, Kanada",4.9,117,117,"+1 782-882-6179","http://www.hawkerbunssingapore.com/","Kafe","CA$20–30",44.7268205,-63.6665159,"https://www.google.com/maps/search/?api=1&query=Hawker%20Buns%20Singapore%20Burger%20Cafe&query_place_id=ChIJDY3t70-JWUsRIl_9FngQFFM"
"T.M. Ward Coffee","944 Broad St, Newark, NJ 07102",4.5,113,113,"(973) 623-1202","http://www.tmwardcoffee.com/","Grosir Kopi","",40.7311185,-74.1744579,"https://www.google.com/maps/search/?api=1&query=T.M.%20Ward%20Coffee&query_place_id=ChIJ8d7TDXdTwokRQ6NgxOnmW4g"
"La Colombe Coffee Workshop","270 Lafayette St, New York, NY 10012",4.3,733,500,"(212) 625-1717","https://www.lacolombe.com/pages/cafes/soho?utm_source=google&utm_medium=organic&utm_campaign=gbp","Kedai Kopi","$1–10",40.7239719,-73.9964165,"https://www.google.com/maps/search/?api=1&query=La%20Colombe%20Coffee%20Workshop&query_place_id=ChIJ8wF3FI9ZwokRrz0RxZ6u9HY"
"More Than Coffee","Jl. Windu No.21, Lkr. Sel., Kec. Lengkong, Kota Bandung, Jawa Barat 40263, Indonesia",4.9,95,95,"+62 822-1972-6190","https://www.instagram.com/____morethancoffee/","Kedai Kopi","",-6.9250968,107.6243875,"https://www.google.com/maps/search/?api=1&query=More%20Than%20Coffee&query_place_id=ChIJp6wvb3vnaC4R1c2RMvdGcnc"
"The Chai Spot","156 Mott St, New York, NY 10013",3.9,1208,500,"(646) 678-5868","http://nowebsiteforthislocation.com/","Kedai Teh","$$",40.719458,-73.996157,"https://www.google.com/maps/search/?api=1&query=The%20Chai%20Spot&query_place_id=ChIJpVtw5dJZwokRHcHZ3llvJMM"
"Sae Coffee","Jl. Aceh No.65, Merdeka, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115, Indonesia",4.9,25,25,"+62 811-2196-200","https://sites.google.com/view/sae24h/menu","Kedai Kopi","",-6.9093867,107.6114558,"https://www.google.com/maps/search/?api=1&query=Sae%20Coffee&query_place_id=ChIJb4nCRwDnaC4R1w703LLuurI"
"How I Met Coffee Bandung","Jl. Windu No.1, Malabar, Kec. Lengkong, Kota Bandung, Jawa Barat 40262, Indonesia",4.9,91,91,"+62 882-0000-68121","http://instagram.com/howimetcoffeebdg","Kedai Kopi","",-6.9244111,107.6219551,"https://www.google.com/maps/search/?api=1&query=How%20I%20Met%20Coffee%20Bandung&query_place_id=ChIJ2aM7HEznaC4RUKuA153owlU"
"Kopitiam","151 E Broadway, New York, NY 10002",4.2,1560,500,"(646) 609-3785","https://www.kopitiamnyc.com/","Restoran Malaysia","$20–30",40.7137994,-73.9909127,"https://www.google.com/maps/search/?api=1&query=Kopitiam&query_place_id=ChIJCSo-rSlawokRXSVW0IKZ3vQ"
"Filosofi Kopi Braga","Jl. Braga No.3, Braga, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40111, Indonesia",4.6,380,380,"+62 817-0737-033","https://filosofikopi.id/","Kedai Kopi","",-6.9206476,107.6098207,"https://www.google.com/maps/search/?api=1&query=Filosofi%20Kopi%20Braga&query_place_id=ChIJuQ2BWlfnaC4RrtwSFqJv2lk"
"Cafe Grumpy - Financial District","20 Stone St, New York, NY 10004",4.3,333,333,"(646) 838-9306","http://www.cafegrumpy.com/","Kedai Kopi","$1–10",40.7039603,-74.0119572,"https://www.google.com/maps/search/?api=1&query=Cafe%20Grumpy%20-%20Financial%20District&query_place_id=ChIJ36W7DhRawokRlnblvodsHUo"
"matesa coffee, roaster and workshop","Jl. Cakranegara No.1, Cihapit, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40114, Indonesia",4.7,37,37,"+62 831-0983-8638","","Kedai Kopi","",-6.9076092,107.6205117,"https://www.google.com/maps/search/?api=1&query=matesa%20coffee%2C%20roaster%20and%20workshop&query_place_id=ChIJ5XHwiljnaC4RlqEwpdNPSYc"
"Good Things Coffee Roasters","Jl. Wangsareja No.11, Paledang, Kec. Lengkong, Kota Bandung, Jawa Barat 40261, Indonesia",4.9,249,249,"","https://tokopedia.link/KptflSnqZvb","Tempat penyangraian kopi","",-6.9245924,107.615628,"https://www.google.com/maps/search/?api=1&query=Good%20Things%20Coffee%20Roasters&query_place_id=ChIJSWl6cQ3naC4R_t1B_lC99xI"
"Cups Coffee","Jl. Trunojoyo No.25, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115, Indonesia",4.4,2006,500,"","http://www.instagram.com/cupscoffeeshop","Kedai Kopi","",-6.9024931,107.613762,"https://www.google.com/maps/search/?api=1&query=Cups%20Coffee&query_place_id=ChIJ72O9NknmaC4RgLgos3Ve7OE"
"Wheels Coffee Roasters - Juanda (Dago)","Jl. Ir. H. Juanda No.256, Sekeloa, Kecamatan Coblong, Kota Bandung, Jawa Barat 40135, Indonesia",4.8,10231,500,"+62 812-2208-1402","http://wheelscoffeeroasters.com/","Kedai Kopi","",-6.8815912,107.6159853,"https://www.google.com/maps/search/?api=1&query=Wheels%20Coffee%20Roasters%20-%20Juanda%20(Dago)&query_place_id=ChIJQ4IZi9vnaC4RBw4zHBo2cto"
"Sapha Kafae","1331 O St, Sacramento, CA 95814",4.9,53,53,"(916) 840-5437","http://www.saphakafae.com/","Restoran","$10–20",38.5735119,-121.4903692,"https://www.google.com/maps/search/?api=1&query=Sapha%20Kafae&query_place_id=ChIJ6Ux-jwPRmoARpX9d9_nFE64"
"A Place In Between","Jl. Sadakeling Gg. Tanuwireja No.34/107, Burangrang, Kec. Lengkong, Kota Bandung, Jawa Barat 40262, Indonesia",4.9,194,194,"+62 821-2653-8646","https://www.instagram.com/aplace__inbetween/","Kedai Kopi","",-6.9285699,107.6185566,"https://www.google.com/maps/search/?api=1&query=A%20Place%20In%20Between&query_place_id=ChIJZ6Uh3dTpaC4REhSD74vjxG0"
"One Eighty Coffee and Music","Jl. Ganesa No.3, Lb. Siliwangi, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132, Indonesia",4.6,9173,500,"+62 822-1800-0155","https://www.instagram.com/oneeightycoffee","Kedai Kopi","$$",-6.8938835,107.6124492,"https://www.google.com/maps/search/?api=1&query=One%20Eighty%20Coffee%20and%20Music&query_place_id=ChIJq8Fn4VDmaC4RsdHmpMJbw9w"
"NoRa Cafe","12333 Strickland Rd Suite 100, Raleigh, NC 27613",4.8,1394,500,"(919) 322-2202","http://www.noracafenc.com/","Kedai Kopi","$10–20",35.9060373,-78.7024897,"https://www.google.com/maps/search/?api=1&query=NoRa%20Cafe&query_place_id=ChIJ5_i9tdT5rIkRDDbs2kVVuMI"
"Wicked Tea Cafe","660 East St #3, Mansfield, MA 02048",4.6,113,113,"(774) 719-2027","https://wickedorder.com/","Restoran China","$10–20",42.031731,-71.1883427,"https://www.google.com/maps/search/?api=1&query=Wicked%20Tea%20Cafe&query_place_id=ChIJ9Vi2McN95IkRlM4eQmSlbY4"
"hi brew","Jl. Boscha No.43, Pasteur, Kec. Sukajadi, Kota Bandung, Jawa Barat 40161, Indonesia",4.8,3359,500,"+62 881-0237-12174","https://linktr.ee/hibrewcoffee","Kedai Kopi","$$",-6.8882032,107.6014095,"https://www.google.com/maps/search/?api=1&query=hi%20brew&query_place_id=ChIJpd8Fcl_maC4ReLsGBTWS0jw"
"Warung Kopi Purnama","Jl. Alkateri No.22, Braga, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40111, Indonesia",4.6,8126,500,"+62 811-2131-930","","Kedai Kopi","",-6.9199975,107.6052619,"https://www.google.com/maps/search/?api=1&query=Warung%20Kopi%20Purnama&query_place_id=ChIJE1wx6yTmaC4R0Rr5BuyFfwk"
"CMe","853 Boyd Ave, Ottawa, ON K2A 2C9, Kanada",5,1,1,"+1 343-998-5297","http://cmekitchen.ca/","Restoran Pesan-Bawa","",45.3765894,-75.7506272,"https://www.google.com/maps/search/?api=1&query=CMe&query_place_id=ChIJC3Mr2C0HzkwROIOmekruTBo"
"Eightyone Coffee Bandung","Dekat, Jl. Halimun No.20, RW.8, Malabar, Kec. Lengkong, Kota Bandung, Jawa Barat 40262, Indonesia",4.8,35,35,"","https://www.eightyonecoffee.co.id/","Kedai Kopi","",-6.9263071,107.6220815,"https://www.google.com/maps/search/?api=1&query=Eightyone%20Coffee%20Bandung&query_place_id=ChIJfxKWZgDnaC4RK2DQf1rkAok"
"Sejiwa","Jl. Progo No.15, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115, Indonesia",4.4,6563,500,"+62 823-1717-1515","http://taplink.cc/sejiwacoffee","Kedai Kopi","$$",-6.9043658,107.6185831,"https://www.google.com/maps/search/?api=1&query=Sejiwa&query_place_id=ChIJIfJPAEvmaC4R5W007AZKRAE"
"Roll Play","3241 Garver Green Suite 115, Madison, WI 53704",4.6,162,162,"(608) 960-8286","http://www.rollplay.shop/","Kafe","$10–20",43.0947538,-89.3349848,"https://www.google.com/maps/search/?api=1&query=Roll%20Play&query_place_id=ChIJH98U3IZTBogRJgyhBfR_amQ"
"Target","235 Prospect Ave, West Orange, NJ 07052",4.6,21,21,"(973) 323-1932","https://www.target.com/sl/west-orange/2895","Toserba","",40.8053015,-74.248626,"https://www.google.com/maps/search/?api=1&query=Target&query_place_id=ChIJIRNFYgCrw4kRjxx8MnBFVzE"
"Wheels Coffee Roasters - Heritage Lifestyle Hub (Riau)","Jl. L. L. R.E. Martadinata No.65, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115, Indonesia",4.9,17264,500,"+62 812-2208-1402","https://instagram.com/wheelscoffeeroasters?igshid=NTdlMDg3MTY=","Kedai Kopi","",-6.9055863,107.617391,"https://www.google.com/maps/search/?api=1&query=Wheels%20Coffee%20Roasters%20-%20Heritage%20Lifestyle%20Hub%20(Riau)&query_place_id=ChIJT3xaAvznaC4RJDnZ7npthlE"
"Two Cents","Jl. Lombok No.28a, Merdeka, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115, Indonesia",4.4,3811,500,"+62 22 4261336","http://instagram.com/twocents_coffee","Kedai Kopi","$$",-6.9072695,107.6204746,"https://www.google.com/maps/search/?api=1&query=Two%20Cents&query_place_id=ChIJ-1_7xErmaC4RtEVWbHb_QIE"
