name,address,rating,totalReviews,reviewsScraped,phone,website,category,priceLevel,lat,lng,googleMapsUrl
"Room MLG Coffee","Jl. Purwakarta No.59, Antapani Kidul, Kec. Antapani, Kota Bandung, Jawa Barat 40291, Indonesia",4.1,190,100,"+62 823-1280-2726","https://www.instagram.com/room.mlg?igsh=OXI5aXBtenRoeThi","Kedai Kopi","",-6.9164429,107.6548919,"https://www.google.com/maps/search/?api=1&query=Room%20MLG%20Coffee&query_place_id=ChIJIYLjZKjnaC4RZISgJf7WPhs"
"TWIN CAFE AND CAKE","3PW6+475, Pasirjati, Kec. Ujung Berung, Kota Bandung, Jawa Barat 40616, Indonesia",,0,0,"+62 813-6666-9735","","Kafe","",-6.9047349,107.7107369,"https://www.google.com/maps/search/?api=1&query=TWIN%20CAFE%20AND%20CAKE&query_place_id=ChIJsc7KKc_daC4RKqlZNshy7dI"
"ABSOLUTE I-GAME & CAFE","Jl. Jatihandap No.21, Jatihandap, Kec. Mandalajati, Kota Bandung, Jawa Barat 40195, Indonesia",3.4,18,18,"","","Warnet","",-6.9009671,107.6573876,"https://www.google.com/maps/search/?api=1&query=ABSOLUTE%20I-GAME%20%26%20CAFE&query_place_id=ChIJO5Su_o3naC4RaNYsAoMJuKI"
"Rumah cafe","Jl. Cilengkrang 1 Jl. Cigagak Cipadung, Cisurupan, Kec. Cibiru, Kota Bandung, Jawa Barat, Indonesia",,0,0,"","","Kedai Kopi","",-6.909691,107.7232814,"https://www.google.com/maps/search/?api=1&query=Rumah%20cafe&query_place_id=ChIJ8TMm7_ndaC4RxWw3RIU7tyc"
"Box Coffice Antapani","Terminal Jl. Terusan Jakarta, Central Antapani, Antapani, Bandung City, West Java 40291, Indonesia",4.6,98,98,"","","Kedai Kopi","",-6.9151339,107.6657689,"https://www.google.com/maps/search/?api=1&query=Box%20Coffice%20Antapani&query_place_id=ChIJBw6E11znaC4RF2k6Sc4aBbU"
"Benjan Cafe","3PM3+H79, Sukamulya, Kec. Cinambo, Kota Bandung, Jawa Barat, Indonesia",,0,0,"","","Kedai Kopi","",-6.9160907,107.7032484,"https://www.google.com/maps/search/?api=1&query=Benjan%20Cafe&query_place_id=ChIJ53ACn_DdaC4R1VcLOKkLPXE"
"Sandis Cafe","Kp Jl. Cigagak Cipadung No.24, RT.005/RW.007, Cisurupan, Kec. Cibiru, Kota Bandung, Jawa Barat 40614, Indonesia",,0,0,"","","Kafe","",-6.9077396,107.7262019,"https://www.google.com/maps/search/?api=1&query=Sandis%20Cafe&query_place_id=ChIJf-WDPADdaC4RZb4XyzOkW3Q"
"Cafe","4P33+4W8, Pasirwangi, Kec. Ujung Berung, Kota Bandung, Jawa Barat 40618, Indonesia",,0,0,"","","Perhimpunan Pengembang Perumahan","",-6.8972042,107.7048194,"https://www.google.com/maps/search/?api=1&query=Cafe&query_place_id=ChIJ_ztCRMfdaC4Rfsz9hK7zXBk"
"Seblak teh nden cafe cafean ..cafe nyumput","Gg. Nangka I No.rt01 RW 05 no 24 A, Pasirwangi, Kec. Ujung Berung, Kota Bandung, Jawa Barat 40616, Indonesia",3.5,2,2,"","","Warung Makanan Kecil","",-6.9038741,107.7050091,"https://www.google.com/maps/search/?api=1&query=Seblak%20teh%20nden%20cafe%20cafean%20..cafe%20nyumput&query_place_id=ChIJRSO9ewDdaC4R4gELiel3CgI"
"Smooth Cafe","Pasirlayung, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat, Indonesia",,0,0,"","","Kafe","",-6.8946669,107.6561436,"https://www.google.com/maps/search/?api=1&query=Smooth%20Cafe&query_place_id=ChIJCQc0uprnaC4R1_7b5Nx8cN8"
"Jebak Cafe & Butik","3MW4+5W3, Jl. Antapani Lama, Cicaheum, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40282, Indonesia",,0,0,"","","Kafe","",-6.9046047,107.6572856,"https://www.google.com/maps/search/?api=1&query=Jebak%20Cafe%20%26%20Butik&query_place_id=ChIJYUk4Xo3naC4RqQg144t360g"
"Uhuy Cafe New","PETUNJUK BAGIKAN SIMPAN, Jl. AH. Nasution Jl. Raya Ujung Berung No.349 800,0 m, Pasanggrahan, Kec. Ujung Berung, Kota Bandung, Jawa Barat 40614, Indonesia",,0,0,"+62 815-7312-7725","","Kafe","",-6.9194855,107.7086756,"https://www.google.com/maps/search/?api=1&query=Uhuy%20Cafe%20New&query_place_id=ChIJA3hk9W3DaC4RG55pQKxIKzQ"
"Bali Cafe Design","Jl. Golf Bar. III No.23, Sukamiskin, Kec. Arcamanik, Kota Bandung, Jawa Barat 40293, Indonesia",,0,0,"+62 22 61616694","https://balicafedesign.com/","Restoran atau Kafe","",-6.917982,107.671082,"https://www.google.com/maps/search/?api=1&query=Bali%20Cafe%20Design&query_place_id=ChIJGQR8slfdaC4R9HHUJR2XtpA"
"Cafe Tansu ( ketan susu )","Jl. Sukanegla No.49, Antapani Kulon, Kec. Antapani, Kota Bandung, Jawa Barat 40291, Indonesia",3,1,1,"","","Kafe","",-6.9085305,107.6528828,"https://www.google.com/maps/search/?api=1&query=Cafe%20Tansu%20(%20ketan%20susu%20)&query_place_id=ChIJwa-IOJLnaC4ROPOAR9azQUs"
"CAFE MAMIH","Jl. Jati Kencana No.16, Bumi Panyawangan, Kec. Cilengkrang, Kabupaten Bandung, Jawa Barat 40616, Indonesia",,0,0,"","","Kedai Kopi","",-6.8989146,107.6983643,"https://www.google.com/maps/search/?api=1&query=CAFE%20MAMIH&query_place_id=ChIJT-ZlbADdaC4R49-bwiqZhVg"
"Rest Area Palalangon Cafe","Palalangon No.18, Cipanjalu, Kec. Cilengkrang, Kabupaten Bandung, Jawa Barat 40616, Indonesia",5,29,29,"+62 831-4847-6135","","Kedai Sarapan","",-6.8784567,107.7153763,"https://www.google.com/maps/search/?api=1&query=Rest%20Area%20Palalangon%20Cafe&query_place_id=ChIJ_c8_cizdaC4RRpu0fBnLQNE"
"123 Cafe","Jl. Terusan Jakarta No.123, Antapani Tengah, Kec. Antapani, Kota Bandung, Jawa Barat 40291, Indonesia",2,1,1,"+62 22 7219464","","Kafe","",-6.9126733,107.6550146,"https://www.google.com/maps/search/?api=1&query=123%20Cafe&query_place_id=ChIJNTV8au7naC4RJ2B3ay6ADiw"
"Tequila cafe","Jl. Pasanggrahan I, Cisurupan, Kec. Cibiru, Kota Bandung, Jawa Barat 40614, Indonesia",,0,0,"+62 819-5373-4802","","Kedai Kopi","",-6.9136317,107.7161241,"https://www.google.com/maps/search/?api=1&query=Tequila%20cafe&query_place_id=ChIJ4-Epj2_daC4RrjXzu7JUFXQ"
"Cafe Ridwan wms","Jl. Cisaranten Kulon No.RT01 RW 07, Cisaranten Kulon, Kec. Arcamanik, Kota Bandung, Jawa Barat 40293, Indonesia",2,1,1,"+62 852-9437-3777","http://jendelailmudanteknologi.blogspot.com/","Kafe","",-6.9177982,107.6843114,"https://www.google.com/maps/search/?api=1&query=Cafe%20Ridwan%20wms&query_place_id=ChIJYSmr96PdaC4R_XTfe-oCn_0"
"Abah Cafe","3MWQ+C6F, Jl. Taruna Baru I, Pasir Endah, Kec. Ujung Berung, Kota Bandung, Jawa Barat 40619, Indonesia",4,4,4,"","","Kafe","",-6.9039484,107.688059,"https://www.google.com/maps/search/?api=1&query=Abah%20Cafe&query_place_id=ChIJQTi2EmrdaC4R0sc-55M2x0U"
"Mc Cafe","Pasirlayung, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat, Indonesia",,0,0,"","","Kafe","",-6.9003975,107.6537553,"https://www.google.com/maps/search/?api=1&query=Mc%20Cafe&query_place_id=ChIJfVAneZHnaC4Rp1P1yVpHlzA"
"Cafe Buruan Sunda","Jl. Cigiringsing No.13, RT.06/RW.04, Pasir Endah, Kec. Ujung Berung, Kabupaten Bandung, Jawa Barat 40619, Indonesia",,0,0,"+62 816-1129-004","","Kafe","",-6.8999641,107.690475,"https://www.google.com/maps/search/?api=1&query=Cafe%20Buruan%20Sunda&query_place_id=ChIJu2n3XX_daC4RcxvOJP4k9JE"
"Dawayatra Online Cafe","Jl. Permata Taman Sari XII No.4A, Cisaranten Kulon, Kec. Arcamanik, Kota Bandung, Jawa Barat 40123, Indonesia",4.4,9,9,"+62 818-0233-4916","","Kafetaria","",-6.920139,107.677242,"https://www.google.com/maps/search/?api=1&query=Dawayatra%20Online%20Cafe&query_place_id=ChIJ15FR16_naC4RlwZQZaehT5w"
"Karana Guesthouse Syariah Bandung Luang Cafe - Single Room","Karang Pamulang, Kec. Mandalajati, Kota Bandung, Jawa Barat, Indonesia",,0,0,"","https://br.bluepillow.com/search/68e3db9ef93025efada99ee6?dest=nuit&cat=Bed+and+breakfast&lat=-6.9046&lng=107.67559&language=pt","Rental Akomodasi","US$16",-6.9046001,107.6755905,"https://www.google.com/maps/search/?api=1&query=Karana%20Guesthouse%20Syariah%20Bandung%20Luang%20Cafe%20-%20Single%20Room&query_place_id=ChIJH4FGeWfdaC4Ruv4iKCVejJQ"
"Cafe Shof","4M8J+GMJ, Cikadut, Kec. Cimenyan, Kabupaten Bandung, Jawa Barat 40191, Indonesia",3,1,1,"+62 878-9040-9626","https://wa.me/qr/CQGFTPVZYRUXB1","Kafe","",-6.8836641,107.6816291,"https://www.google.com/maps/search/?api=1&query=Cafe%20Shof&query_place_id=ChIJnc21cAndaC4R7lHjiy1hWjs"
"Cafe Makkah","3MJP+JQ2, Cisaranten Bina Harapan, Kec. Arcamanik, Kota Bandung, Jawa Barat 40293, Indonesia",4.2,6,6,"","","Restoran","",-6.9184986,107.6869036,"https://www.google.com/maps/search/?api=1&query=Cafe%20Makkah&query_place_id=ChIJB6SMM0ndaC4R38zJ7LDq7kM"
"Van's Home n Cafe","Jatiendah, Kec. Cilengkrang, Kabupaten Bandung, Jawa Barat, Indonesia",,0,0,"","","Kafe","",-6.8970489,107.6949709,"https://www.google.com/maps/search/?api=1&query=Van's%20Home%20n%20Cafe&query_place_id=ChIJ7fuJBBPdaC4RTM2sOplt0yE"
"Satu Delapan Delapan Cafe","Jl. AH. Nasution No.188, Cipadung Kulon, Kec. Ujung Berung, Kota Bandung, Jawa Barat 40614, Indonesia",4,1,1,"+62 822-4114-9200","","Kafe","",-6.9167399,107.7053562,"https://www.google.com/maps/search/?api=1&query=Satu%20Delapan%20Delapan%20Cafe&query_place_id=ChIJUa_61m7daC4RjtF_tucMQ2M"
"Gobi Stay Cafe","Jl. Ciwaru, RT.04/RW04, Cilengkrang, Kec. Cilengkrang, Kabupaten Bandung, Jawa Barat 40614, Indonesia",3.5,4,4,"+62 853-2116-3178","","Kafe","",-6.8984284,107.7205388,"https://www.google.com/maps/search/?api=1&query=Gobi%20Stay%20Cafe&query_place_id=ChIJhZVL-u3daC4R-Sp-J5yske0"
"EX RUFUS GAMING CAFE ( CABANG UJUNGBERUNG )","Ruko Anggrek Residence, Jl. Rumah Sakit Blok AA-G, Sukamulya, Kec. Cinambo, Kota Bandung, Jawa Barat 45474, Indonesia",3.2,98,98,"+62 22 63748734","https://www.instagram.com/xrufusicafe/","Warnet","",-6.9170761,107.6991837,"https://www.google.com/maps/search/?api=1&query=EX%20RUFUS%20GAMING%20CAFE%20(%20CABANG%20UJUNGBERUNG%20)&query_place_id=ChIJH1-Ra03daC4RghWGUKyFY3Y"
